"url","hammer_price","sold","auction_date","title","distillery","region","strength","distillery_status","cask_type","currency","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","country","auction_house"
"https://whiskyauctioneer.com/lot/340214/1-blended-malt-2001-sherry-butt-cask-storage-whiskybroker",11500,TRUE,"2021-04-05","Blended Malt 200Sherry Butt",NA,"Scotland","45.5","Operational","Butt","Great Britain Pound (£)","453.85","206.5","2001-08-30",NA,"Sherry","2021-03-01",19,648.36,"17.74","55.69","12937.5","19.95","62.65","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/341417/1-arran-1996-1st-fill-sherry-hogshead-94-cask-storage-lochranza",40500,TRUE,"2021-04-05","Arran 1996 1st Fill Sherry Hogshead","Arran (Lochranza)","Islands","51.3","Operational","Hogshead","Great Britain Pound (£)","210.7","108.09","1996-02-14","First Fill","Sherry","2021-02-24",25,301,"134.55","374.69","45562.5","151.37","421.52","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/335404/1-glen-elgin-2013-sherry-butt-814806-cask-storage-coleburn",17000,TRUE,"2021-03-08","Glen Elgin 2013 Sherry Butt","Glen Elgin","Speyside","62.01","Operational","Butt","Great Britain Pound (£)","437","270.98","2013-01-01",NA,"Sherry","2021-02-01",8,624.29,"27.23","62.74","19125","30.63","70.58","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/335421/1-glenglassaugh-2015-1st-fill-oloroso-octave-60b-cask-storage-whiskybroker",1800,TRUE,"2021-03-08","Glenglassaugh 2015 1st Fill Oloroso Octave","Glenglassaugh","Highlands","59.7","Operational","Octave","Great Britain Pound (£)","44.4","26.51","2015-09-10","First Fill","Sherry",NA,5,63.43,"28.38","67.9","2025","31.92","76.39","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/327957/1-dalmunach-2016-barrel-934-cask-storage-whiskybroker",3900,TRUE,"2021-02-08","Dalmunach 2016 Barrel","Dalmunach","Speyside","67.3","Operational","Barrel","Great Britain Pound (£)","192.01","129.22","2016-10-11",NA,NA,"2021-01-13",4,274.3,"14.22","30.18","4387.5","16","33.95","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/327959/1-glenglassaugh-2015-1st-fill-oloroso-octave-60-cask-storage-whiskybroker",2600,TRUE,"2021-02-08","Glenglassaugh 2015 1st Fill Oloroso Octave","Glenglassaugh","Highlands","59.7","Operational","Octave","Great Britain Pound (£)","44.4","26.51","2015-09-10","First Fill","Sherry",NA,5,63.43,"40.99","98.08","2925","46.11","110.34","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/327961/1-glenglassaugh-2015-1st-fill-oloroso-octave-60a-cask-storage-whiskybroker",2200,TRUE,"2021-02-08","Glenglassaugh 2015 1st Fill Oloroso Octave","Glenglassaugh","Highlands","59.7","Operational","Octave","Great Britain Pound (£)","44.4","26.51","2015-09-10","First Fill","Sherry",NA,5,63.43,"34.68","82.99","2475","39.02","93.36","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/329226/1-ardmore-2008-1st-fill-oloroso-octave-708522a-cask-storage-whiskybroker",2600,TRUE,"2021-02-08","Ardmore 2008 1st Fill Oloroso Octave","Ardmore","Highlands","57.6","Operational","Octave","Great Britain Pound (£)","50.21","28.92","2008-01-01","First Fill","Sherry",NA,13,71.73,"36.25","89.9","2925","40.78","101.14","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/321454/1-tullibardine-2016-1st-fill-oloroso-octave-265b-cask-storage-whiskybroker",1601,TRUE,"2021-01-11","Tullibardine 2016 1st Fill Oloroso Octave","Tullibardine","Highlands","66.6","Operational","Octave","Great Britain Pound (£)","45.37","30.22","2016-01-01","First Fill","Sherry",NA,5,64.81,"24.7","52.98","1801.12","27.79","59.6","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/321456/1-tullibardine-2016-1st-fill-oloroso-octave-265c-cask-storage-whiskybroker",1555,TRUE,"2021-01-11","Tullibardine 2016 1st Fill Oloroso Octave","Tullibardine","Highlands","66.6","Operational","Octave","Great Britain Pound (£)","44.26","29.48","2016-01-01","First Fill","Sherry",NA,5,63.23,"24.59","52.75","1749.38","27.67","59.34","Scotland","WhiskyAuctioneer"
