"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_times_age"
"2018-05-07","Bruichladdich","Islay","Scotland","64.1",128.84,"201","Operational","Barrique",NA,"Wine",14,287.14,22,12,2,16943.05,59.01,131.5,1841.06411052468
"2018-05-07","Ben Nevis","Highlands","Scotland","57.2",230.76,"398.65","Operational",NA,NA,"Wine",21,569.5,22,12,2,26370.51,46.3,114.28,2399.8124024961
"2018-04-02","Ben Nevis","Highlands","Scotland","57.2",230.76,"398.65","Operational","Butt",NA,"Sherry",21,569.5,21,14,7,60167.65,105.65,260.74,5475.47516900676
"2025-03-10","Copper House","England","England","68.06",92.03,"135.22","Operational",NA,"Virgin Oak","Virgin Oak",8,193.17,129,84,39,357.69,1.85,3.89,31.093339128545
"2025-03-10","Copper House","England","England","65.32",110.3,"168.86","Operational",NA,"Virgin Oak","Virgin Oak",8,241.23,129,84,39,357.69,1.48,3.24,25.9430643699003
"2023-04-24","Springbank","Campbeltown","Scotland","43.9",64.84,"147.7","Operational","Hogshead","First Fill","Sherry",26.88,211,47,15,9,93873.66,444.9,1447.77,38916.1625663171
"2024-05-14","Port Charlotte","Islay","Scotland","55.9",140.31,"251","Operational","Hogshead","Second Fill","Sherry",19.64,358.57,77,59,13,30473.3,84.99,217.19,4265.52356923954
"2022-10-03","Bruichladdich","Islay","Scotland","61.4",121.57,"198","Operational",NA,NA,"Wine",10.25,282.86,95,32,9,26805.67,94.77,220.5,2260.08157851444
"2023-06-20","Bruichladdich","Islay","Scotland","57.1",122.76,"215","Operational","Hogshead",NA,"Wine",12.77,307.14,38,19,17,24929.66,81.17,203.08,2593.28574617139
"2024-05-14","Bruichladdich","Islay","Scotland","59.7",149.25,"250","Operational","Hogshead","Second Fill","Sherry",19.47,357.14,77,59,13,18231.89,51.05,122.16,2378.39127839196
"2023-11-21","Bruichladdich","Islay","Scotland","60.7",91.05,"150","Operational","Barrel","First Fill","Bourbon",17.44,214.29,37,18,14,18271.64,85.27,200.68,3499.80671718836
"2021-11-15","Bruichladdich","Islay","Scotland","56.5",88.14,"156","Operational","Barrel","First Fill","Bourbon",16.47,222.86,99,42,34,20711.79,92.94,234.99,3870.24258339006
"2024-01-01","Bruichladdich","Islay","Scotland","62.9",113.22,"180","Operational","Barrel","First Fill","Bourbon",12.93,257.14,75,55,45,16973.38,66.01,149.92,1938.40137254902
"2023-11-21","Bruichladdich","Islay","Scotland","62.9",89.95,"143","Operational","Barrel","First Fill","Bourbon",16.42,204.29,37,18,14,15093.96,73.88,167.8,2755.33989105058
