"title";"buyer_price";"hammer_price";"link";"id";"status";"sold";"end_date";"description";"filling_date";"cask_number";"distillery";"year_distilled";"age";"cask_type";"original_litres_alcohol";"original_bulk_litres";"original_strength";"regauged_litres_alcohol";"regauged_bulk_litres";"regauged_strength"
"1 Refill Hogshead Of Macallan 1995 - Cask 7738 - Held In Bond";59915;52100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-hogshead-of-macallan-1995-cask-7738-held-in-bond&mproductId=8440435867812&sort_by=p1766765112";"798";"Winning Bid";TRUE;17471;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1995. Originally filled into a refill Hogshead. This cask was regauged on 07/08/2017. The regauged litres were found to be approximately 144.14 Bulk litres at a strength of 58.0%. This would currently yield approximately 205 x 70cl bottles of whisky currently at 22 years old. This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Colour: Amber. Nose: Beautifully earthy and fragrant. Full of moss, ferns, all kinds of dried herbs, pumpernickel bread, wet leaves and mushroom powder. A cooling coal hearth, a touch of strawberry liqueur, some hessian and dunnage warehouse and a dusting of cocoa powder. Beautifully integrated sherry and distillate. Palate: Big, a little sharp at first, and full of spices like nutmeg, cinnamon powder, cloves and various other mulling spices. Some cured meats, freshly baked brown bread, black olives, sage, rosemary and gorse flowers. A touch of desiccated cocoanut and muesli comes through as well. Some more meaty notes in the form of bovril and beef stock. Finish: Long, earthy, meaty and full of dark fruits and warming spices. Quite a layered finish ending up on a long chocolatey fade. Comments: Another blinding good mid-aged Macallan. Again, this could easily sail to 30 years of age without too much trouble it would appear. One that will certainly reward a little patience in the bond.";NA;"Cask No: 7738";"Distillery: Macallan";"Distilled: 1995";"Age: 22 years old";"Cask Type: Refill Hogshead";"Original Filled on 06/07/1995 With: 154.10 Litres of Alcohol";NA;NA;NA;"Re-gauged: 07/08/2017 - 144.14 Bulk litres";"Cask Strength: 58.00% ABV"
"1 Hogshead Of Macallan 1990 - Cask 4070 - Held In Bond";56925;49500;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1990-cask-4070-held-in-bond&mproductId=8440437112996&sort_by=p1766765112";"101";"Winning Bid";TRUE;17870;"One cask of Macallan Single Malt Scotch Whisky. Distilled 1990. Originally filled on 05/03/1990 into a Third Fill Hogshead with 254.20 bulk Litres. This cask was regauged on 10/09/2018. The regauged litres were found to be approximately 145.90 Bulk litres at a strength of 48.44%. This would currently yield approximately 208 x 70cl bottles of whisky currently at 28 years old This cask is held at Chivas Brothers Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Macallan Cask #4070 Colour: white Wine Nose: A soft buttery note to begin which unfolds nicely onto coal hearths, damp earth, linseed oil, furniture polish and delicate tertiary notes of coconut, lemon balm, dried herbs and cough medicine. There is a resilient cereal note running underneath as well; crisp, lean and malty. In time there's notes of dried banana chips, sunflower seeds and other trail mix qualities. The overall impression is one of a fine-textured, well-balanced malt whisky. Palate: Good weight and texture. Slightly petroly and oily with notes of grassy olive oil and mineral oil. Very light camphor and wax aspects as well. More well-structured cereal qualities, some natural sweetness and hints of various dried herbs. These ever so slight medical aspects resurge with these notes of cough medicine and orange throat sweets. Get's spicier over time as well, towards freshly ground white pepper and cinnamon bark. Finish: Long, spicy, dry, slightly mineral and with some unusual notes of steel wool, pine needles, wood resins and coal dust. Still rather precise and punchy. Comments: An excellent, and at times unusual in a good way, example of Macallan. One which feels ready now and would probably not benefit from too much further ageing. The strength and flavours are all evenly matched and well integrated. A good, very tasty whole that outweighs the sum of its parts.";NA;"Cask No: 4070";"Distillery: Macallan";"Distilled: 1990";"Age: 28 years old";"Cask Type: Third Fill Hogshead.";"Original Fill: Litres of Alcohol 161.40 @ 63.50% Original Bulk Litres 254.20 @ 63.50%";"Original Fill: Litres of Alcohol 161.40 @ 63.50% Original Bulk Litres 254.20 @ 63.50%";"Original Fill: Litres of Alcohol 161.40 @ 63.50% Original Bulk Litres 254.20 @ 63.50%";"New re-gauged: 10/09/2018 - 70.90 litres of Alcohol";"New re-gauged: 145.90 Bulk Litres";"Current Cask Strength: 48.44% Approximately 208 x 70cl Bottles"
"1 Butt Of Tobermory 1994 - 28 year Old - Cask 5025 - Held In Bond";53590;46600;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-butt-of-tobermory-1994-28-year-old-cask-5025-held-in-bond&mproductId=8638543200420&sort_by=p1766765112";"0223-1252";"Winning Bid";TRUE;19438;"One cask of Tobermory Single Malt Scotch Whisky distilled on the 20/06/1994 currently maturing at Deanston Distillery in Scotland. Annual storage fees currently stand at £1.32 per week and the new owner must make arrangements directly with the warehouse after the sale. Contact details will be given by the current cask owner. This cask was re-gauged on the 11/2022. The new re-gauged litres were found to be approximately 402 Bulk litres at a strength of 50.5%. This would currently yield approximately 574 x 70cl bottles of whisky currently at 28 years old.  Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from the bond or bottling will be the responsibility of the new cask owner. Once payment for this Lot is received from the buyer, the money will be held by Whisky-Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected. Payment is strictly by bank transfer. Non-UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Nose: Faint chocolate and wet wood, paprika, hazelnuts, a slight hint of blackcurrant liquorice sweets. Now the oak comes through; notes of wet earth, old autumn leaves and smoked vanilla custard. Grassy honeysuckle notes in the background. Water lifts bark, soil and woody notes to the fore. Palate: Medium-full. Sweet and spicy, with flashes of pepper and chilli powder at full strength. Digestive biscuits, clove spices, some raisins, cinnamon and cocoa powder, with Cadbury’s Fruit &amp; Nut and a backbone of firm old oak. Becomes more grassy and biscuity with water, but still retains its spiciness. Finish: Very good length, warming, peppery with a swirl of grassy notes. Clove, cinnamon and other hot spices linger longest. Comment: An old fashioned and quite savoury dram, almost like an aged mezcal at some points. An intriguing web of sweet cocoa notes and some nice grassy, malty elements with prominent spices. This a dram of admirable depth with plenty of pleasing side notes to unpack.";NA;"Cask number: 5025";"Distillery: Tobermory";"Distilled: 20/06/1994";"Current age: 28 years old";"Cask Type: Butt";"Original filled with: 320.1 litres of alcohol at 63.50%";"Original bulk litres: 504";"Original filled with: 320.1 litres of alcohol at 63.50%";"Current fill: 11/2022 - 204.20 litres of alcohol at 50.5%";"Current fill: 11/2022 - 204.20 litres of alcohol at 50.5%";"Current fill: 11/2022 - 204.20 litres of alcohol at 50.5%"
"1 Ex Bourbon Barrel Of Littlemill 1990 - Cask 918 - Held In Bond";35765;31100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-ex-bourbon-barrel-of-littlemill-1990-cask-918-held-in-bond&mproductId=8440438390948&sort_by=p1766765112";"711";"Winning Bid";TRUE;17443;"One cask of Littlemill Single Malt Scotch Whisky, originally purchased direct from Inver House distillers by the current family owners, Distilled 1990. Originally filled with 203 bulk litres at 63.70% into a bourbon barrel.This cask was regauged in September 2017. The regauged Litres Of Alcohol were found to be approximately 85 bulk litres at a strength of 50.0%. This would currently yield approximately 121 x 70cl bottles of whisky currently at 27 years old. This cask is held in bond. under the care of Inver House Distillers, Scotland.  Annual storage or removal must be arranged direct with the Warehouse or others after the sale. contact details will be given by the current cask owner.Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner.Once payment for this lot is received from the buyer the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask certificate to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s.. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Littlemill 1990. Bourbon barrel. Cask number 918. Remaining Litres of Alcohol (RLA) 85. 50% abv.";NA;"Cask No: 918";"Distillery: Littlemill";"Distilled: 1990";"Age: 27 Years old";"Cask Type: Ex Bourbon Barrel";NA;NA;"Original Filled With: 203 litres at 63.70%";NA;"Re-gauged September 2017- 85 Bulk litres";"Strength: 50.0% ABV"
"1 First Fill Butt Of Tobermory 1994 - Cask 5015 - Held In Bond";29440;25600;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-first-fill-butt-of-tobermory-1994-cask-5015-held-in-bond&mproductId=8440439505060&sort_by=p1766765112";"205";"Winning Bid";TRUE;17779;"One cask of Tobermory Single Malt Scotch Whisky distilled 1994. Originally filled on 20/06/1994 into a First Fill Butt with 497 bulk Litres. This cask was regauged on 02/07/2018. The new regauged litres were found to be approximately 323 Bulk litres at a strength of 49.7%. This would currently yield approximately 461 x 70cl bottles of whisky currently at 24 years old This cask is held at Deanston Distillery Scotland. Annual storage fees currently stand at £2.10 per week and must be arranged directly with the Warehouse after the sale. Contact details will be given by the current cask owner.Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner.Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Tobermory Cask #5015 Colour: Gold Nose: A good and pleasingly textured sweetness. Notes of lemon cake, poppy seed, some beach sand and sandalwood. Fresh, clean and elegantly coastal. Develops further tertiary notes of bread, sourdough, fabric softeners and lemon barley water. The underlying maltier tones get more pronounced with time. Palate: Many toasted cereal notes, butterscotch, cream soda and hints of grass and olive oil. Again it’s quite clean and with a kind of porridge-like stodgy texture. Some brittle, concrete and chalky notes along with some soot and mustard seed. Surprisingly powerful and still possessing some hints of sea air and beach minerals. Finish: Medium-long. Some wood ash, butter, more taught minerality and a few white floral aspects. Good. Comments: An excellent mid-aged Tobermory. Good sweetness and texture. Lacking some of the more ‘unlikely’ characteristics this distillery could be prone to in this era. The cask has had a clear voice with these sweeter aspects, although I expect this could easily improve further over another five years of maturation.";NA;"Cask No: 5015";"Distillery: Tobermory";"Distilled: 1994";"Age: 24 years old";"Cask Type: First Fill Butt";"Original Filled: Litres of Alcohol 316.30 @ 63.4%";"Original Bulk Litres 497 @ 63.4%";"Original Bulk Litres 497 @ 63.4%";"New re-gauged: 02/07/2018 - 161.30 litres of Alcohol";"New re-gauged 323 Bulk Litres";"Current Cask Strength: 49.7%"
"1 Hogshead Of Ben Nevis 1996 - 28 year Old - Cask 406 - Held In Bond";23805;20700;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-ben-nevis-1996-28-year-old-cask-406-held-in-bond&mproductId=8638612570276&sort_by=p1766765112";"0424-515";"Winning Bid";TRUE;19872;"One cask of Ben Nevis Single Malt Scotch Whisky distilled on the 29/03/1996 currently maturing at Ben Nevis Distillery in Scotland. Annual storage fees currently stand at £0.41 per week and the new owner must make arrangements directly with the warehouse after the sale. Contact details will be given by the current cask owner. This cask was re-gauged on the 05/2024. The new re-gauged litres were found to be approximately 138.32 bulk litres at a strength of 48.9%. This would currently yield approximately 197 x 70cl bottles of cask strength whisky, currently at 28 years old. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from the bond or bottling will be the responsibility of the new cask owner. Once payment for this Lot is received from the buyer, the money will be held by Whisky-Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected. Payment is strictly by bank transfer. Non-UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky-Online Auctions Tasting Notes: Few whiskies evoke the same level of reverence and intrigue as those produced at the Ben Nevis Distillery during the mid to late 1990s. This particular cask, distilled in 1996, stands as a testament to this golden era, embodying the essence of this legendary distillery in its every drop. Nose: An initial rich and deep, honeyed aroma with notes of Tarte aux Pommes gives way to enticing tropical fruit. A thickening emulsion of mango, pineapple, apricot, Guadeloupe melon and passion fruit with soft baking spices and musky florality waiting in the wings. Still, brightness leaps from the glass. Palate: Fruit and spices reveal themselves with tinned pineapple juice, fruit salad and elderflower cordial, cinnamon buns and a warming cracked black pepper note which thoroughly qualifies this spirit as “Ben Nevis ’96”. Moreover, the distinctive viscosity of the make, whose luxurious oiliness and thick tropical fruit are bolstered by a spirity inflection of pear drops and frangipane, overwhelming evidence of its provenance. Finish: A long, engaging perambulation emerging from tropical fruit chews, through a field of summer heather to a specialist panettone bakery. Comments: An excellent example of a sought-after vintage of Ben Nevis that could be enjoyed both imminently with its fruitier animated fruits bathed in its luxurious mouthfeel or, equally, left to absorb more of the deeper spicy notes held within the cask for another year or two. A Single Malt that is proving difficult to find in today's market and is highly sought after for good reason.";"Originally filled: 29/03/1996";"Cask number: 406";"Distillery: Ben Nevis";NA;"Current age: 28 years old";"Cask type: Hogshead";"Original filled with: 158.4 litres of alcohol at 63.6%";"Original bulk litres: 247";"Original filled with: 158.4 litres of alcohol at 63.6%";NA;"New re-gauged bulk litres: 138.325";"Current cask strength 48.9%"
"1 First Fill Hogshead Of Tobermory 1994 - Cask 39 - Held In Bond";19665;17100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-first-fill-hogshead-of-tobermory-1994-cask-39-held-in-bond&mproductId=8440440357028&sort_by=p1766765112";"204";"Winning Bid";TRUE;17779;"One cask of Tobermory Single Malt Scotch Whisky distilled 1994. Originally filled on 14/12/1994 into a First Fill Hogshead with 247 bulk Litres. This cask was regauged on 02/07/2018. The new regauged litres were found to be approximately 171 Bulk litres at a strength of 56.0%. This would currently yield approximately 244 x 70cl bottles of whisky currently at 24 years old. This cask is held at Deanston Distillery Scotland. Annual storage fees currently stand at £1.05 per week and must be arranged directly with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Tobermory Cask #39 Colour: Pale Gold Nose: A more straightforward, lemony and briny example. Lots of soot, yeasty notes, chalk, limestone, minerals and sea air. Impressively fragrant and floral, with more of these notes of linen, bath salts and fabric softener. Background hints of lemon peel, gravel and menthol cigarettes. Quite a lot of cereal qualities as well. Palate: Very taught, chiselled and pure in style. Brittle minerality, toasted cereals and seeds, some brake fluid, light medicines and more chalky notes. A more typical, perhaps ‘classical Tobermory’ example but in a good way. Perhaps more idiosyncratic and characterful than cask 5015. More lemony and yeasty notes. Lots of hay and grasses as well. Finish: Long, ashy, mineral, brittle, flinty and slightly saline. A slightly chemical aspect as well but in a good, characterful way. Comments: The cask here is quieter and the distillate louder. It should comfortably mature well for a further 5-10 years. It still retains a lovely freshness and fragrant quality. A very interesting and rather good example of Tobermory.";NA;"Cask No: 39";"Distillery: Tobermory";"Distilled: 1994";"Age: 24 years old";"Cask Type: First Fill Hogshead.";"Original Filled: Litres of Alcohol 158.30 @ 63.4% Original Bulk Litres 247 @ 63.4%";"Original Filled: Litres of Alcohol 158.30 @ 63.4% Original Bulk Litres 247 @ 63.4%";"Original Filled: Litres of Alcohol 158.30 @ 63.4% Original Bulk Litres 247 @ 63.4%";"New re-gauged: 02/07/2018 - 96.10 litres of Alcohol";"New re-gauged 171 Bulk Litres";"Current Cask Strength: 56.0%"
"1 Bourbon Barrel Of Bruichladdich 2005 - Cask 345 - Held In Bond";19435;16900;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-bruichladdich-2005-cask-345-held-in-bond&mproductId=8638594318500&sort_by=p1766765112";"114";"Winning Bid";TRUE;19109;"One cask of Bruichladdich Single Malt Scotch Whisky. Distilled 2005. Originally filled into a Bourbon Barrel This cask was regauged on 16/02/2022. The regauged litres were found to be approximately 135 Bulk litres at a strength of 60.4%. This would currently yield approximately 192 x 70cl bottles of whisky currently at 16 years old This cask is held at Bruichladdich. Annual storage must be arranged directly with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post-sale. Any costs relating to removal from bond/bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure the buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for the transfer of ownership. Customs & Excise refer to the owners as the representatives. Please be aware of this regulation before bidding. Important notice: We have been informed by the distillery. Sanctions by the UK government have been implemented preventing any Russian buyer from purchasing any casks until further notice. Any breach of these conditions, the sale will be invalid. Whisky Online Auctions Tasting Notes: We’ve tasted a sample from this cask, and it’s terrific stuff - deliciously old school, and mature enough to bottle now but with plenty in the tank if you wanted to age it further, especially given the high strength. Here’s our tasting notes from Tim F: Nose: Very appealing opening notes of honey and lemon curd, with golden syrup and fresh laundry behind. Develops on grassy aromas of hay and honeysuckle, then overripe apple peel and high-quality milk chocolate. The oak appears late: hardwoods and furniture polish, a hint of cinnamon. Further time in the glass reveals custard, porridge, clove and orange peel. Water lifts nougat and Playdoh aromas. Palate: Medium-full on the palate. Peppery at first, with the oak and nice touches of sugared almonds and apricot jelly, then zesty orange peel, strawberry liquorice, Playdoh, cloves, sponge cake with damson jam, cranachan, marmalade and a pleasing leafy herbaceousness towards the end. Gets fruitier with water, which also lifts wool and nougat flavours. Finish: Very good length, warm and drying. The herby notes linger with the pepper, syrup, Playdoh, a menthol note and a touch of hot spices. Comments: A very sippable dram in the old school style, with a lot of different layers of flavour held together by strong but not overbearing oak. The balance is improved further with a few drops of water. This marvellous old cask of Bruichladdich 2005 is currently 16 years old and while it’s an excellent whisky already it really has the potential to become a truly magnificent dram in a few years time";NA;"Cask No: 345";"Distillery: Bruichladdich";"Distilled: 2005";"Age: 16 years old";"Cask Type: Bourbon Barrel";NA;NA;NA;NA;NA;"Cask Strength: 60.4% ABV"
"1 Hogshead Of Lochindaal Bruichladdich 2007 - 17 year Old - Cask 3403 - Held In Bond";18285;15900;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-lochindaal-bruichladdich-2007-17-year-old-cask-3403-held-in-bond&mproductId=14895561245053&sort_by=p1766765112";"1024-777";"Winning Bid";TRUE;20096;"One cask of Lochindaal/Bruichladdich Single Malt Scotch Whisky distilled in 2007 currently maturing at Bruichladdich Distillery in Scotland. Annual storage fees currently stand at £36.29 per year and the new owner must make arrangements directly with the warehouse after the sale. Contact details will be given by the current cask owner. This cask was re-gauged November 2024. The new re-gauged litres were found to be approximately 149 bulk litres at a strength of 61.1%. This would currently yield approximately 212 x 70cl bottles of cask strength whisky, currently at 17 years old. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from the bond or bottling will be the responsibility of the new cask owner. Once payment for this Lot is received from the buyer, the money will be held by Whisky-Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected. Payment is strictly by bank transfer. Non-UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky-Online Auctions Tasting Notes: Nose: Bold and complex! An initial flourish of Fruit and spice in waves, Black pepper and melon, anise and orange peel acts as an overcoat to earthy smoke and vanilla, stewed plum with cinnamon buns and pan au chocolate. Notes from the bakery keep coming with crusty loaves and sour dough wafting for an age. Palate:  A thick and coating mouthfeel followed once again with big notes of fruit and spice, grapefruit and cinnamon, pineapple and clove, melon and nutmeg surrounded in a light fruity foggy smoke. Maybe a touch of roasted fennel and honey with sharp lime citrus sprits in dark chocolate keep the palate alive and fizzing wonderfully. Finish:  Long and mellowing with the lime dissipating into warm  panettone and barley sugar, I light fog of baking spice and smoke that lingers for an age. Comments: This is a spectacular example of 2007 Peated Bruichladdich, the luxurious mouth feel and balance of fruit and spice is as perfect as anyone could reasonably wish for in the make. It also offers the flexibility of further aging should the purchaser have more of a spicey preference in the final delivery. An excellent marriage of spirit and cask from a highly sought after distillery. A great opportunity for anyone with even a passing interest in the distillery. Suffice to say - Good ‘Laddie!";"Originally filled: 2007";"Cask number: 3403";"Distillery: Lochindaal/Bruichladdich";NA;"Current age: 17 years old";"Cask type: Bourbon Hogshead";"Original filled with: 136.1 litres of alcohol";"Original Bulk Litres: 194 Litres";NA;NA;"New re-gauged bulk litres: 149 Litres";"Current cask strength: 61.1%"
"1 Hogshead Of Tobermory 1995 - Cask 1841 - Held In Bond";14950;13000;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-tobermory-1995-cask-1841-held-in-bond&mproductId=8440443240612&sort_by=p1766765112";"478";"Winning Bid";TRUE;18052;"One cask of Tobermory Single Malt Scotch Whisky distilled 1995. Originally filled on 06/12/1995 into a Hogshead with 251 bulk Litres. This cask was regauged on 09/04/2019. The new regauged litres were found to be approximately 196 Bulk litres at a strength of 54.2%. This would currently yield approximately 280 x 70cl bottles of whisky currently at 23 years old. This cask is held at Deanston Distillery Scotland. Annual storage fees apply and must be arranged directly with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Tobermory Cask #1841 Colour: Pale gold. Nose: Clean, buttery and rich. Lightly spiced with cinnamon, ginger and nutmeg. A creamy vanilla note that leads to creme brulee, white pepper and eventually yellow plums and ripe garden fruits such as apples and gooseberries. A light biscuity sweetness in the background. Palate: Surprisingly powerful on arrival. Excellent weight, strength and texture. Vividly peppery, warming and spicy again. Dried fruits this time with sultanas, banana chips, apricots and lemon peel. There’s also a light, autolytic stodgy quality that alludes to scone mix and sourdough. Finish: Long, slightly yeasty, lemony, leathery and still with rather a lot of dried fruits and eventually hints of green tea, coconut and chamomile in the aftertaste. Conclusions: A top-notch, perfectly mature and well-balanced cask of Tobermory that feels at times more like an older Speyside whisky than an islander. However, the overall quality is very impressive and this would be ready to bottle now or over the next 2-3 years. A surprisingly elegant and luxurious dram.";NA;"Cask No: 1841";"Distillery: Tobermory";"Distilled: 1995";"Age: 23 years old";"Cask Type: Hogsheads Original Filled: 160.50 Litres of Alcohol Original Bulk Litres: 251";"Cask Type: Hogsheads Original Filled: 160.50 Litres of Alcohol Original Bulk Litres: 251";"Cask Type: Hogsheads Original Filled: 160.50 Litres of Alcohol Original Bulk Litres: 251";NA;"New re-gauged: 09/04/2019 - 107.10 litres of Alcohol";"New re-gauged: 196 Bulk Litres";"Current Cask Strength: 54.2%"
"1 Refill Butt Of Ben Nevis 1996 - Cask 1458 - Held In Bond";14950;13000;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-butt-of-ben-nevis-1996-cask-1458-held-in-bond&mproductId=8440442290340&sort_by=p1766765112";"364";"Winning Bid";TRUE;17716;"One cask of Ben Nevis Single Malt Scotch Whisky. Distilled 1996. Originally filled on 21/10/1996 into a Refill Butt with 266.9 Litres of Alcohol / 419 Bulk Litres. This cask was regauged on 11/05/2018. The new regauged litres were found to be approximately 278.22 Bulk litres at a strength of 55.7%. This would currently yield approximately 397 x 70cl bottles of whisky currently at 22 years old This cask is held in bond. Annual storage fees apply per annum and must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Ben Nevis cask 1458 Colour: Gold. Nose: As with many of these mid-late 1990s Ben Nevis which are currently reaching the market, this one possesses a typical richness. At first it is dominated by honey and freshly baked bread aromas. Indeed, there is a pronounced autolytic character. The profile develops with further notes of mead and some gentle background fruitiness; white stone fruits; mirabelle; pear eau de vie. Some gingerbread is also present. Globally it is fresh, rich and with a sense of elegance and complexity. Palate: Here the Ben Nevis personality really strikes deep. Dense exotic and green fruits which are both syrupy and oily in texture. Barley sugar, quince, lemon curd and a turmeric/earthy quality. This really is excellent whisky. It is reminiscent of some of these late 1980s aged Irish single malts which have been bottled extensively these past few years. Underneath there are various tertiary complexities such as toasted seeds, yellow flowers and lanolin. An excellent Ben Nevis. Finish: Long, heathery, spicy, lightly fruity, oily and with a sense of fragrant, herbal waxiness. Comments: An excellent example of Ben Nevis at its peak. The sort of cask you could easily bottle now but should also continue to hold its quality or improve for a further 3-6 years. The kind of exemplary, distinctive and characterful Scottish single malt it is increasingly hard to find in this day and age.";NA;"Cask No: 1458";"Distillery: Ben Nevis";"Distilled: 1996";"Age: 22 years old";"Cask Type: Refill Butt.";"Original Filled: Litres of Alcohol 266.9";NA;NA;"New re-gauged: 11/05/2018 - 156.05 litres of Alcohol";"New re-gauged 278.22 Bulk Litres Current";"Cask Strength: 55.7%"
