"age","auction_date","auction_house","bottles_at_cask_strength","bulk_litres","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","cask_filling","cask_type","country","currency","distillery","distillery_status","filling_date","hammer_price","previous_spirit","regauged_date","region","rla","sold","strength","title","url"
30.84,2020-11-04,"Whisky Online Auctions",154.14,107.9,260,1.69,4.49,"Virgin Oak","Barrel","Scotland","Great Britain Pound (£)","Girvan","Operational",1990-01-01,2600,NA,2020-07-16,"Lowlands",57.9,TRUE,57.9,"1 Barrel Of Girvan 1990 - Cask 166871 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-barrel-of-girvan-1990-cask-166871-held-in-bond&mproductId=8638547919012&sort_by=p1766765112"
16.71,2025-04-02,"Whisky Online Auctions",281.79,197.25,400,1.42,6.62,NA,NA,"Scotland","Great Britain Pound (£)","Glentauchers","Operational",2008-07-17,4000,NA,2025-02-10,"Speyside",60.4,TRUE,60.4,"1 Bourbon Barrel Of Glentauchers 2008 - 16 Year Old - Cask 900683 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-glentauchers-2008-16-year-old-cask-900683-held-in-bond&mproductId=15101918445949&sort_by=p1766765112"
NA,2025-11-12,"Whisky Online Auctions",273.86,191.7,100,0.37,1.63,NA,NA,"Ireland","Great Britain Pound (£)","Hinch","Operational",NA,1000,NA,NA,"Ireland",61.3,TRUE,61.3,"1 Bourbon Barrel Of Hinch 2022 - Cask 003355 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-hinch-2022-cask-003355-held-in-bond&mproductId=15651858153853&sort_by=p1766765112"
26.01,2018-01-03,"Whisky Online Auctions",197.7,138.39,1110,5.61,22.38,NA,"Hogshead","Scotland","Great Britain Pound (£)","Jura","Operational",1992-01-01,11100,NA,2017-08-22,"Highlands",49.6,TRUE,49.6,"1 Hogshead Of Isle Of Jura 1992 - Cask 5488 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-isle-of-jura-1992-cask-5488-held-in-bond&mproductId=8638576296100&sort_by=p1766765112"
26.01,2018-01-03,"Whisky Online Auctions",172.09,120.46,780,4.53,16.46,NA,"Hogshead","Scotland","Great Britain Pound (£)","Jura","Operational",1992-01-01,7800,NA,2017-08-22,"Highlands",47.4,TRUE,47.4,"1 Hogshead Of Isle Of Jura 1992 - Cask 5490 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-isle-of-jura-1992-cask-5490-held-in-bond&mproductId=8638570004644&sort_by=p1766765112"
26.01,2018-01-03,"Whisky Online Auctions",172.89,121.02,770,4.45,16.35,NA,"Hogshead","Scotland","Great Britain Pound (£)","Jura","Operational",1992-01-01,7700,NA,2017-08-22,"Highlands",47.1,TRUE,47.1,"1 Hogshead Of Isle Of Jura 1992 - Cask 5486 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-isle-of-jura-1992-cask-5486-held-in-bond&mproductId=8638567415972&sort_by=p1766765112"
26.01,2018-01-03,"Whisky Online Auctions",64.6,45.22,57.5,0.89,1.75,NA,"Hogshead","Scotland","Great Britain Pound (£)","Jura","Operational",1992-01-01,575,NA,2017-08-22,"Highlands",32.8,TRUE,32.8,"1 Hogshead Of Isle Of Jura 1992 - Cask 5487 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-isle-of-jura-1992-cask-5487-held-in-bond&mproductId=8638546509988&sort_by=p1766765112"
27.76,2017-10-04,"Whisky Online Auctions",121.43,85,3110,25.61,62.2,NA,"Barrel","Scotland","Great Britain Pound (£)","Littlemill","Operational",1990-01-01,31100,"Bourbon",2017-09-01,"Lowlands",50,TRUE,50,"1 Ex Bourbon Barrel Of Littlemill 1990 - Cask 918 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-ex-bourbon-barrel-of-littlemill-1990-cask-918-held-in-bond&mproductId=8440438390948&sort_by=p1766765112"
28.75,2018-12-05,"Whisky Online Auctions",208.43,145.9,4950,23.75,102.19,"Third Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1990-03-05,49500,NA,2018-09-10,"Speyside",48.44,TRUE,48.44,"1 Hogshead Of Macallan 1990 - Cask 4070 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1990-cask-4070-held-in-bond&mproductId=8440437112996&sort_by=p1766765112"
24.51,2017-07-05,"Whisky Online Auctions",202.86,142,5590,27.56,100.54,"Second Fill","Hogshead","Scotland","Great Britain Pound (£)","Macallan","Operational",1993-01-01,55900,NA,2017-04-04,"Speyside",55.6,TRUE,55.6,"1 Hogshead Of Macallan 1993 - Cask 4130 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1993-cask-4130-held-in-bond&mproductId=8440434884772&sort_by=p1766765112"
