"url","hammer_price","title","sold","country","region","strength","distillery_status","bulk_litres","currency","auction_date","rla","filling_date","cask_type","cask_filling","previous_spirit","distillery","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","auction_house"
"https://www.thegrandwhiskyauction.com/lot-670991/adnams-2015-single-malt-french-oak-barrique-482",3050,"Adnams - 2015 Single Malt - French Oak Barrique #482 ",TRUE,"England","England",64.7,"Operational",175,"Great Britain Pound (£)",2024-09-03,113.22,NA,"Barrique",NA,NA,"Adnams",NA,NA,250,12.2,26.94,3431.25,13.72,30.31,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610020/adnams-single-malt-1st-fill-french-oak-barrique-612",3000,"Adnams - Single Malt - 1st Fill French Oak Barrique #612",TRUE,"England","England",70.39,"Operational",169.43,"Great Britain Pound (£)",2023-12-14,119.26,NA,"Barrique","First Fill",NA,"Adnams",NA,NA,242.04,12.39,25.16,3375,13.94,28.3,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610023/adnams-single-malt-1st-fill-french-oak-barrique-623",3000,"Adnams - Single Malt - 1st Fill French Oak Barrique #623",TRUE,"England","England",70.27,"Operational",167.4,"Great Britain Pound (£)",2023-12-14,117.63,NA,"Barrique","First Fill",NA,"Adnams",NA,NA,239.14,12.54,25.5,3375,14.11,28.69,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-662114/adnams-single-malt-1st-fill-oloroso-sherry-cask-6",3000,"Adnams - Single Malt - 1st Fill Oloroso Sherry Cask #6",FALSE,"England","England",64,"Operational",185,"Great Britain Pound (£)",2024-08-06,118.4,NA,NA,"First Fill","Sherry","Adnams",NA,NA,264.29,11.35,25.34,3375,12.77,28.51,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-662115/adnams-single-malt-1st-fill-port-cask-5",3000,"Adnams - Single Malt - 1st Fill Port Cask #5",FALSE,"England","England",65,"Operational",185,"Great Britain Pound (£)",2024-08-06,120.25,NA,NA,"First Fill","Port","Adnams",NA,NA,264.29,11.35,24.95,3375,12.77,28.07,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-662116/adnams-single-malt-1st-fill-port-cask-6",3000,"Adnams - Single Malt - 1st Fill Port Cask #6",FALSE,"England","England",64.4,"Operational",180,"Great Britain Pound (£)",2024-08-06,115.92,NA,NA,"First Fill","Port","Adnams",NA,NA,257.14,11.67,25.88,3375,13.13,29.11,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-670993/adnams-2015-single-malt-1st-fill-port-cask-5",3000,"Adnams - 2015 Single Malt - 1st Fill Port Cask #5",TRUE,"England","England",65,"Operational",185,"Great Britain Pound (£)",2024-09-03,120.25,NA,NA,"First Fill","Port","Adnams",NA,NA,264.29,11.35,24.95,3375,12.77,28.07,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-670994/adnams-2015-single-malt-1st-fill-port-cask-6",3000,"Adnams - 2015 Single Malt - 1st Fill Port Cask #6",TRUE,"England","England",64.4,"Operational",180,"Great Britain Pound (£)",2024-09-03,115.92,NA,NA,"First Fill","Port","Adnams",NA,NA,257.14,11.67,25.88,3375,13.13,29.11,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-702405/adnams-2015-single-malt-french-oak-cask-497",3000,"Adnams - 2015 Single Malt - French Oak Cask #497",FALSE,"England","England",64.29,"Operational",176.85,"Great Britain Pound (£)",2024-11-26,113.7,NA,NA,NA,NA,"Adnams",NA,NA,252.64,11.87,26.39,3375,13.36,29.68,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610018/adnams-single-malt-1st-fill-french-oak-barrique-610",2900,"Adnams - Single Malt - 1st Fill French Oak Barrique #610",TRUE,"England","England",71.26,"Operational",135.79,"Great Britain Pound (£)",2023-12-14,96.76,NA,"Barrique","First Fill",NA,"Adnams",NA,NA,193.99,14.95,29.97,3262.5,16.82,33.72,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610008/adnams-triple-malt-1st-fill-american-oak-bourbon-barrel-514",2800,"Adnams - Triple Malt - 1st Fill American Oak Bourbon Barrel #514",TRUE,"England","England",66.51,"Operational",183.15,"Great Britain Pound (£)",2023-12-14,121.81,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,261.64,10.7,22.99,3150,12.04,25.86,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-610010/adnams-triple-malt-1st-fill-american-oak-bourbon-barrel-516",2750,"Adnams - Triple Malt - 1st Fill American Oak Bourbon Barrel #516",TRUE,"England","England",67.56,"Operational",173.93,"Great Britain Pound (£)",2023-12-14,117.51,NA,"Barrel","First Fill","Bourbon","Adnams",NA,NA,248.47,11.07,23.4,3093.75,12.45,26.33,"The Grand Whisky Auction"
